LINA:lina_li_railways;[(stroke, #FABB00), (stroke-width, 5), (stroke-linejoin, round), (stroke, #FFFFFF), (stroke-width, 2.5), (stroke-linejoin, round), (stroke-dasharray, 8 12)];Voies ferrées;Réseaux de transports;Réseaux de transport;Lyon
LINA:lina_li_tramway;[(stroke, #000000), (stroke-width, 5), (stroke-linejoin, round), (stroke, #FFFFFF), (stroke-width, 2.5), (stroke-linejoin, round), (stroke-dasharray, 8 12)];Voies de tramway;Réseaux de transports;Réseaux de transport;Lyon
LINA:lina_li_vvv;[(stroke, #007000), (stroke-width, 3)];Voies vertes;Environnement;Environnement;Lyon
LINA:lina_po_natura_2000;[(fill, #005500)];Natura 2000;Environnement;Zonages réglementaires;Lyon
LINA:lina_po_etendue_eau;[(fill, #3191ff)];Etendue d'eau;Environnement;Réseau hydrographique;Lyon
LINA:lina_li_troncon_hydro_permanent;[(stroke, #3191ff), (stroke-width, 3)];Cours d'eau permanents;Environnement;Réseau hydrographique;Lyon
LINA:lina_po_zonages_anru;[(fill, #A4A400), (stroke, #000000), (stroke-width, 3)];Zonages ANRU;Zonages;Zonages ANRU;Lyon
LINA:lina_po_zonages_anru_buffer;[(fill, #D7D700), (stroke, #000000), (stroke-width, 1), (stroke-dasharray, 5 2), (stroke-opacity, 0.5)];Zonages ANRU (300m);Zonages;Zonages ANRU;Lyon
LINA:lina_po_zonages_znieff_1;[(fill, #5C5800)];ZNIEFF de type 1;Environnement;Zonages réglementaires;Lyon
LINA:lina_po_zonages_znieff_2;[(fill, #293800)];ZNIEFF de type 2;Environnement;Zonages réglementaires;Lyon
LINA:lina_li_troncon_hydro_intermittent;[(stroke, #3191ff), (stroke-width, 1.5), (stroke-dasharray, 5 2)];Cours d'eau intermittents;Environnement;Réseau hydrographique;Lyon
LINA:lina_po_zonages_plu_activite_existante;[(fill, #AD74A3)];Zones d'activité existante (UE);PLU / POS;Zones d'activité existante (UE);Lyon
LINA:lina_po_communes;[(stroke, #000000), (stroke-width, 5)];Communes;Cadastre;Cadastre;Lyon
LINA:lina_po_risques_ppri_precaution;[(fill, #6baed6)];Zones des PPR Inondations (précaution);Risques naturels et technologiques;PPR Inondations;Lyon
LINA:lina_po_risques_ppri_danger;[(fill, #fb6a4a)];Zones des PPR Inondations (danger);Risques naturels et technologiques;PPR Inondations;Lyon
LINA:lina_po_zonages_plu_equipement_public;[(fill, #ff01e2)];Zones d'équipement public (UP);PLU / POS;Zones d'équipement public (UP);Lyon
LINA:lina_po_zonages_plu_equipement_public_futur;[(fill, #ee9ee5)];Zones d'équipement public futures (AUP);PLU / POS;Zones d'équipement public futures (AUP);Lyon
LINA:lina_po_contraintes_sites_classes_ou_inscrits;[(fill, #CCCCCC), (stroke, #000000), (stroke-width, 1)];Sites classés ou inscrits (SCI);Contraintes;Périmètres patrimoniaux;Lyon
